😀,Cara sonriente,felicidad
🤤,Cara babeante,felicidad
♥,corazon,felicidad
😁,Cara sonriente con ojos sonrientes,felicidad
😂,Cara con lágrimas de alegría,felicidad
🤣,Rodando por el suelo de risa,felicidad
😃,Cara sonriente con boca abierta,felicidad
😄,Cara sonriente con boca abierta y ojos sonrientes,felicidad
😅,Cara sonriente con boca abierta y sudor frío,felicidad
😆,Cara sonriente con boca abierta y ojos muy cerrados,felicidad
😉,Cara guiñando un ojo,felicidad
🤭,cara con mano sobre la boca,risa
😊,Cara sonriente con ojos sonrientes,felicidad
😋,Cara saboreando una comida deliciosa,felicidad
😎,Cara sonriente con gafas de sol,felicidad
😍,Cara sonriente con corazones en los ojos,amor
☺,Cara sonriendo,felicidad
🙂,Rostro ligeramente sonriente,felicidad
🤗,Rostro ofreciendo un abrazo,amor
🤩,Estrellas en los ojos,admiracion
😏,Cara sonriendo con superioridad,felicidad
😺,Cara de gato sonriente con la boca abierta,felicidad
😸,Cara de gato sonriente con ojos sonrientes,felicidad
😹,Cara de gato con lágrimas de alegría,felicidad
😻,Cara de gato con corazones en los ojos,amor
😼,Cara de gato con sonrisa irónica,felicidad
😞,Cara decepcionada,tristeza
😒,Cara poco divertida,tristeza
🙄,Rostro con ojos girando,tristeza
😟,Cara preocupada,impaciencia
😠,Cara enfadada,enfado
😕,Cara confusa,tristeza
🙁,Rostro con el ceño ligeramente fruncido,indignacion
☹,Rostro con ceño fruncido,tristeza
😣,Cara perseverante,tristeza
😖,Cara frustrada,tristeza
😫,Cara cansada,cansancio
😩,Cara cansada,cansancio
😨,Cara asustada,miedo
😰,Cara con la boca abierta y sudor frío,decepcion
😦,Cara con el ceño fruncido y la boca abierta,decepcion
😧,Cara angustiada,angustia
😢,Cara llorando,tristeza
😥,Cara decepcionada pero aliviada,tristeza
😪,Cara con sueño,cansancio
😭,Cara llorando fuerte,tristeza
🤦‍,Mujer llevándose la palma de la mano a la cara,decepcion
🤦‍♂️‍,Hombre llevándose la palma de la mano a la cara,decepcion
🙍‍,Mujer frunciendo el ceño,enojo
💔,Corazón partido,tristeza
😡,Cara enojada,enojo
🤬,Cara con símbolos sobre la boca,enojo
😤,Cara con mirada de triunfo,enojo
🤯,Cabeza que explota,enojo
😾,Cara de gato enojada,enojo
👿,Diablillo,enojo
👊,Signo de puño con la mano,enojo
👎,Signo de pulgar hacia abajo,enojo
🖕,Revés de la mano con el dedo medio extendido,enojo
🤞,Dedos cruzados,enojo
🤷‍,Mujer encogiendo los hombros,enojo
🙅‍,Mujer con gesto de desaprobación,enojo
🙅,Cara con gesto de no está bien,enojo
💣,Bomba,enojo
⚡,Signo de alto voltaje,enojo
🔥,Fuego,enojo
💥,Símbolo de colisión,enojo
🌋,Volcán,enojo
❌,Marcha de tachado,enojo
💢,Símbolo de enfado,enojo
🎉,Lanzador de confeti,feliz
🎊,Lluvia de confeti,feliz
🎁,Regalo envuelto,feliz
🎈,Globo,feliz
🤠,Cara con sombrero de cowboy,feliz
🕺,Hombre bailando,feliz
💃,Bailarina,feliz
👫,Hombre y mujer de la mano,feliz
👭,Dos mujeres de la mano,feliz
👬,Dos hombres de la mano,feliz
🧑‍🤝‍🧑,Personas de la mano,feliz
✌,Mano haciendo la señal de la victoria,feliz
🤟,"""Te amo"" en lenguaje de señas",feliz
👍,Signo de pulgar hacia arriba,feliz
🙌,Persona levantando ambas manos en celebración,feliz
👏,Signo de manos haciendo palmas,feliz
🍰,Pedazo de tarta,feliz
🎂,Tarta de cumpleaños,feliz
🥧,Pastel,feliz
🍮,Flan,feliz
🍭,Piruleta,feliz
🍬,Caramelo,feliz
🍺,Jarra de cerveza,feliz
🍻,Jarras de cerveza brindando,feliz
🍷,Vaso de vino,feliz
🥂,Brindando con copas,feliz
🥃,Vaso ancho de cristal,feliz
🍸,Vaso de cóctel,feliz
🍹,Bebida tropical,feliz
🍾,Botella descorchándose,feliz
💪,Brazo fuerte,fuerza
🌷,Flor,amor
❤️,corazon,amor
💕,corazones,amor
💙,corazon,amor
💚,corazon,amor
😷,emoji triste con mascarilla,tristeza
