positivo;negativo
alegr;abandon
aceptacion;abat
acert;abrum
acogi;aburr
acomp;abus
activ;afect
activadosporlasalud;agobi
admiracion;agot
aecuadorlosacamostod;agravi
agradec;amenaz
alboroz;angusti
alegri;anomali
alent;ansied
alivi;ansiedadydepr
ama;arma
amabil;artim
amo;asco
amor;asquer
anim;atrac
apeg;auxili
apoy;bochorn
apreciacion;caraj
armoni;cayeron
asegur;cay
ayud;cel
bell;censur
bendicion;chimbisim
bien;chimb
bienest;codici
bond;coler
buen;contagi
calm;corrupcion
combat;corrupt
compart;culpabil
comp;decepcion
complacent;delincuent
compromet;delincu
compromis;delit
confiabl;derrot
hermosooo;desalient
confianz;desamor
consentirt;desampar
content;desanim
conviv;desasosieg
coperacion;descar
correct;chuch
crec;desconfi
cur;put
delici;verg
derech;desconsuel
dese;desdich
dignid;desgan
disminucion;desgast
divert;desgraci
don;deshonest
efect;desiguald
emocion;desilu
empati;desmoron
emprend;desmotivacion
encant;desorientacion
energ;despreci
esfuerz;desprestigi
esper;desproteccion
eufori;destruccion
excel;desval
exist;desventur
exit;detencion
extasi;deten
facil;detien
favorit;detuv
felic;devast
felicit;diabl
fervor;discriminacion
fiabl;disfori
firmez;disgust
fortalec;dolenci
fortaleciendofamili;dolor
fortalez;duel
fuert;ecuadorencrisisdelterror
fuerz;elpeorgobiernodelahistori
fuerzadetare;empeor
galardon;encuadorencrisi
ganarem;her
gener;enfad
geni;enfermed
goz;enferm
graci;enoj
grand;entristec
gust;envidi
gustos;error
hacerparacrec;espant
honest;estupidez
honor;estup
humild;exasperacion
ilu;extravi
impuls;fallec
inaguracion;falleci
inaugur;falsific
incent;fals
inmunizacion;fastidi
integr;femicidiospobrez
jaj;fobi
jajajajaj;frustracion
juntosecu;frustrant
levantam;gast
lider;grav
logr;graved
luch;hambrun
maravill;hipocresi
mejor;hdp
mitig;hpta
motivacion;hijuemadr
normal;humillacion
oportun;imbecil
optim;impacient
orgull;impidi
participacion;impotent
particip;incompr
pasion;incorrect
paz;indignacion
percib;idiotas
plac;idiotec
plenitud;ineptitud
precautelam;inest
precautel;infect
premi;infel
priorid;inferior
proteccion;infiern
proteg;injustici
proveer;insatisfaccion
reactivacion;insegur
reactiv;insensat
desinfeccion;insult
pasion;ira
reanudacion;lacr
recuperacion;ladron
recuper;lamentabl
reir;lastim
respetem;llor
respet;mal
respon;mald
respons;maldit
ris;malit
salv;maquiavel
segur;mat
simpati;melancoli
socializacion;menospreci
solidari;mentir
solidar;mezquind
suert;mied
super;mierd
tiernament;mis
encant;miseri
tiern;mor
reir;muer
triunf;muert
uneteydifund;mult
unidospodem;mur
unidosporecu;odi
unidossomosmasfuert;ofend
valient;oscurec
valor;oscur
venc;pavor
vencerguerrer;pen
venci;pendej
vital;penos
vivim;perd
yocuidomiembaraz;pesadumbr
;pesim
;pest
;petrificacion
;pistol
;pres
;prib
;priv
;preocup
;problem
;protest
;rabi
;rasism
;rat
;recel
;rechaz
;remord
;rencor
;resquemor
;riesg
;rob
;ctm
;sap
;saqu
;sinvergu
;soled
;sufr
;sust
;tont
;temor
;tenebr
;tenenci
;terqued
;terror
;tonter
;torpez
;tragedi
;traicion
;trist
;tristez
;vag
;venganz
;vergÃ¼enz
;verguenz
;victim
;violenci
;violent
;vulnerabul
;vulneracion
;chanch
;web
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
